Name,RA,DEC,Max,Min,Period_h
"V965 Cep = GSC 4500-0083 (=NSVS 304708), multiperiodic?",00 09 49.3,+80 21 41,13.7,14,2.04
V1040 Cas,00 31 48.1,+57 01 34,14.8,15.2,1.76
NSV 323,00 51 15.3,-59 03 56,13.0,13.6,3.51
GP And (=GSC 01739-01964),00 55 18.1,+23 09 49,10.4,11,1.89
GSC 9135-0708 (=ASAS J010111-6843.1),01 01 11.0,-68 43 06,12.1,12.5,2.20
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27
LR Psc (=GSC 0612-0771=ASAS J010618+0846.2),01 06 18.3,+08 46 13,11.2,11.5,1.51
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.20
"V791 And (=GSC 2290-1195=2MASS J01092229+3602176), multiperiodic!",01 09 22.3,+36 02 17,14.1,14.4,1.87
KO Psc = GSC 1750-1237 (=ASAS J011024+2719.3),01 10 24.1,+27 19 15,12.9,13.2,2.09
GSC 7004-0394 (=ASAS J012349-3643.7),01 23 49.0,-36 43 42,10.0,10.2,3.07
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43
AX Tri (=GSC 02301-01168),01 31 49.2,+35 13 24,14.5,15.1,1.66
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13,13.5,2.57
GSC 0628-0348,01 45 28.6,+12 54 25,8.9,9.3,3.52
GSC 8047-0536 (=ASAS J015307-5056.5),01 53 07.0,-50 56 30,9.7,10.0,2.18
GSC 5858-1004 (=NSVS 14742359),01 57 54.9,-18 57 47,13.2,13.6,1.55
GSC 7553-0883 (=ASAS J021313-4054.8),02 13 12.7,-40 54 50,12.4,12.8,2.77
DR Ari (=GSC 1220-1131=ASAS J021630+2117.9),02 16 30.2,+21 17 49,10.8,11.1,1.95
V808 And,02 27 38.7,+43 14 43,13.5,13.9,1.49
GSC 7555-0583,02 31 52.6,-41 19 23,13.6,14.4,2.15
V460 And (=GSC 2840-1177),02 34 14.2,+42 14 27,13.2,13.8,1.80
GSC 4705-0264,02 40 48.2,-07 06 17,13.5,14.0,1.80
GSC 7015-0399 (=ASAS J025743-3351.6) -- Non-radial,02 57 42.4,-33 51 35,11.4,11.6,1.56
GSC 2847-0586,03 04 08.4,+38 30 53,10.9,11.1,3.39
ZZ Ret (=NSV 1122),03 21 19.1,-66 18 06,13.6,14.2,2.01
V1090 Per (=GSC 2861-0970=NSVS 4156098),03 22 42.7,+39 06 35,12.2,12.6,2.64
GSC 9158-0919 (=ASAS J032246-7237.8),03 22 45.9,-72 37 46,12.1,12.4,3.11
GSC 7027-0700 (=ASAS J033219-3539.3),03 32 18.8,-35 39 15,10.6,10.8,1.3
GSC 6453-0732 (=ASAS J033715-2832.6),03 37 15.0,-28 32 36,13.4,14.2,1.35
GSC 8501-0497 (=ASAS J040137-5342.1),04 01 37.0,-53 42 06,12.3,12.7,2.28
BG Men (=GSC 9492-2623 =ASAS J040320-8342.0),04 03 20.1,-83 41 59,11.9,12.2,2.06
GSC 5894-0822 (=ASAS J042750-1846.3),04 27 49.6,-18 46 19,11.0,11.3,2.72
GSC 0677-0014,04 30 39.1,+12 49 55,13.9,14.4,2.34
V367 Cam (=GSC 3733-1115 ),04 40 55.2,+53 38 07,10.7,11,2.92
GSC 6472-0193 (=ASAS J045636-2740.8),04 56 36.0,-27 40 48,12.6,13.2,1.88
V376 Cam (=GSC 4519-1078),04 57 20.9,+79 20 59,11.8,12.2,3.37
GSC 8077-0922 (=ASAS J045800-4555.6),04 57 59.6,-45 55 33,12.9,13.8,2.47
GSC 8083-1319 (=ASAS J045801-5011.2),04 58 01.3,-50 11 08,12.7,13.1,2.25
GSC 2396-0781 (=DDE61),04 58 08.9,+34 08 50,14.8,15.2,2.50
