Ster,RA,DEC,Max,Min,Periode,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Aug,Sep,Okt,Nov,Dec
GSC 4500-0083,00 09 49.3,+80 21 41,13.7,14,2.04,,HH08,,,,,,,MAV13,KP01,,
GP And,00 55 18.1,+23 09 49,10.4,11,1.89,,,,,,,,,KP29,"FN1, JH20,21",JH11,KP08
GSC 2811-1420=V524 And,01 05 47.3,+44 35 04,12.3,12.7,2.27,,,,,,,,,FN29,KP03,HH09,KP09
GSC 0612-0771,01 06 18.3,+08 46 13,11.2,11.5,1.51,,,,,,,,,,JH14,,
GSC 4619-0450=V792 Cep,01 08 01.2,+84 47 25,13.7,14.1,3.2,,,,,,,,,, KP04,,
GSC 2290-1195,01 09 22.3,+36 02 17,13.6,13.8,1.87,,,JH,,,,,,,HHU03,,
GSC 1750-1237,01 10 24.1,+27 19 15,12.9,13.2,2.09,,,,,,,,,,FN2,JH11,
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,,,,,,,,,,FN15,"KP28,29",
GSC 2815-0790=V544 And,01 44 27.9,+37 58 54,13,13.5,2.57,,,,,,,,,,HHU16,KP04,
GSC 0628-0348,01 45 28.6,+12 54 25,8.9,9.3,3.52,,,,,,,,,,,,
GSC 1220-1131,02 16 30.2,+21 17 49,10.8,11.1,1.95,HH16,,,,,,,,,HHU20,,
GSC 3755-0845,02 27 38.7,+43 14 43,13.5,13.9,1.49,"JH09, JH16",,,,,,,,MAV24,MAV21,"MAV14, AA21",
V460 And,02 34 14.2,+42 14 27,13.2,13.8,1.8,FN28,,,,,,,,,HHU21,"CW24,28,29",AA01
GSC 2847-0586,03 04 08.4,+38 30 53,10.9,11.1,3.39,KP07,,,,,,,,,MAV22,MAV15,
GSC 2861-0970,03 22 42.7,+39 06 35,12.2,12.6,2.64,JH09,RP01,FN20,,,,,,,MAV23,MAV16,
V367 Cam (=GSC 03733-01115 ),04 40 55.2,+53 38 07,10.7,11,2.92,,,"JH, SK",,,,,,,MAV26,,
GSC 4519-1078=V376 Cam,04 57 20.9,+79 20 59,11.8,12.2,3.37,,KP06,"JVW22/28, KP25",,,JVW02,,,,"MAV13,JVW22",,
GSC 1306-0466,05 39 52.2,+20 01 09,11.8,12.2,2.08,HH09,AB08,FN09,,,,,,,,,
V337 Ori,05 59 20.5,+20 02 04,11.3,11.6,4.83,FN29,MV16,MV2/4/7,,,,,,,,RP23,
GSC 3755-0845,06 05 02.0,+55 09 51,10.4,10.7,1.83,BS09,,FN8,,,,,,MAV29,,"MAV27,AB27",RP10
GSC 0753-1489,07 04 52.4,+10 27 24,12.2,12.6,2.24,HH27,,MV06,,,,,,,,,
GSC 0191-1282,07 37 58.4,+05 52 28,12.8,13.2,1.14,,JH16,"JH02, 03, FN07, AA14",,,,,,,,,
GSC 1924-1134,07 44 38.6,+29 12 22,12.6,13,2.33,FN28,"FN8, 21","FN 2,4,5,6,7",,,,,,,,,
AD CMi,07 52 47.2,+01 35 50,9.2,9.5,2.95,,,"HH02, JH24, 28",JH8,,,,,,,,
SZ Lyn,08 09 35.8,+44 28 18,9.1,9.7,2.89,"RP21, CW26, CW27",,HH08,,,,,,,,,
GSC 2977-0238,08 19 17.6,+41 59 00,10.6,11,1.82,"KP08, RP",,"FN8, KP23",FN23,,,,,,,,
GSC 3428-1497,09 21 02.5,+49 05 54,9.3,9.8,1.78,JH09,,HH04,AA21,,,,,,,MAV14,
GSC 3004-0870,10 21 35.3,+40 31 41,13.8,14.3,1.97,,HH8,"HH06, AB20",,FN01,,,,,,,
GW UMa,10 44 11.3,+44 40 44,9.5,10,4.88,"KP17, RP18",AA12,,RP20,,,,,,,,
GSC 4552-1498,11 24 25.5,+77 42 15,12.9,13.4,1.34,KP18,,"HH19, FN19, AA26",,FN01,,,,,,,
GSC 4923-0693,11 25 18.4,-00 47 14,13,13.7,1.6,,,,"AA03, AB09, RP11",,,,,,,,
GSC 3832-0152,11 48 42.0,+54 43 01,11.7,12.1,2.19,KP07,,"HH20, RP23","RP03, HH20",FN02,,,,,,,
GSC 4556-1113,12 03 16.9,+80 33 43,11.5,11.9,2.07,JVW09,"JVW12,16","JVW02,03,06",JVW06,"JVW02,04,20","JVW01,29","JVW02,31",JVW19,"JVW02,29","JVW14,21","JVW11,27",JVW09
GSC 1442-1358,12 13 40.8,+17 14 37,11.9,12.2,1.97,,JH08,,"HH08, AA22",,,,,,,,
GSC 3031-0307,13 30 03.4,+43 30 14,14.3,14.6,2.40,,,,,,,,,,,,
GSC 0321-0314,14 24 43.4,+04 38 50,12.9,13.5,1.88,,,,HH25,,,,,,,,
GSC 3863-0740,14 41 38.1,+56 26 17,11.4,11.7,4.74,KP15,,"RP26, KP28",RP25,,,,,,MAV31,,
GSC 3043-0463,14 50 07.7,+38 14 56,13.7,14,2.50,,,,,,,,,,,,
EH Lib,14 58 56.0,-00 56 52,9.5,10,2.33,,,,"AA23,ET25",,,,,,,,
GSC 2566-1398,15 22 21.6,+32 58 45,11.9,12.3,2.18,,,,RP07,,AA01,,,,,,
GSC 4417-0394,15 22 39.8,+74 15 17,12.5,13,3.16,,KP10,,,,AA17,,,,,,
YZ Boo,15 24 07.0,+36 52 01,10.3,10.8,2.5,,KP11,,"BS17, CWR23","CWR08, AA23",CWR06,CWR08,,,,,
GSC 4638-0455,15 35 30.4,+85 37 38,12.4,12.7,2.32,,KP12,JVW04,JVW08,,,,,,,,
GSC 0933-0651,15 36 02.0,+11 06 58,12.5,13,2.53,,,,,,,,,,,,
GSC 3489-0868,15 41 37.0,+51 59 25,13.4,13.7,2.08,,,,,AA31,AA16,,,,,,
GSC 3483-0746,15 44 36.6,+46 19 22,12.4,12.7,2.71,,,,RP30,,,,,,,,
GSC 5018-1085,15 46 13.5,-00 26 06,12.1,12.6,1.66,,,,AA24,,,,,,,,
GSC 3490-0814,15 50 28.5,+45 57 52,12.7,13,1.65,,KP08,"KP12,24,25, AA26","KP04,07,10,11,23",,,,,,,,
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54,,,,,,,,,,,,
GSC 2043-1201,16 26 43.1,+23 29 42,11.9,12.2,1.87,,,,,AA06,,,,,,,
V1116 Her,16 30 16.5,+16 55 06,11.5,11.8,2.27,,,,,,,,,,,,
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,,,,,CWR06,"CWR08,09",,,,,
GSC 3074-0114,16 41 06.9,+40 42 28,13.8,14.5,1.23,,,AA18,,,,,,,FN2,,
V1086 Her,16 48 39.3,+30 27 45,13.4,13.7,3.13,,,,,,,,,,,,
GSC 2080-0986,17 37 00.8,+25 32 10,13.3,13.6,2.38,,,,,,,,,FN29,,,
GSC 0429-2098,17 52 45.1,+07 00 41,10.8,11.2,3.51,,,,,,HH02,,,,,,
V593 Lyr,18 32 06.6,+40 35 56,12.4,13,2.45,,,,,AA22,,,RP08,AB29,,,
GSC 2108-1564,18 47 43.7,+23 13 13,11.4,11.7,2.35,,,,,,JH26,,,AB30,,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,,,JVW24,JVW24,,,CWR26,"JVW24,27,28,29","JVW01,14",JVW12,
GSC 1594-2234,19 07 24.0,+19 01 24,10.5,10.8,3.28,,,,,,,,,,,,
GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,,,,,JH16,,,,AB01,,
