,RA,DEC,Max,Min,Periode,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Aug,Sep,Okt,Nov,Dec
GSC 4500-0083,00 09 49.3,+80 21 41,13.7,14,2.04,,,,,,,MV22,,,,,
GP And,00 55 18.1,+23 09 49,10.4,11,1.89,,,,,,,,,,CW07+12,"RP18, CW08",CW15
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27,,,,,,,,,,CW07,,
GSC 0612-0771,01 06 18.3,+08 46 13,11.2,11.5,1.51,,,,,,,,,,,,
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.2,,,,,,AA16,AA23,,,,,
GSC 2290-1195,01 09 22.3,+36 02 17,13.6,13.8,1.87,,,,,,,,,,,,MV11
GSC 1750-1237,01 10 24.1,+27 19 15,12.9,13.2,2.09,,,,,,,,,,,,AB10
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,,,,,,,,,"JH23,25,29",,,PVC10
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13,13.5,2.57,,,,,,,,,,AA15,,
GSC 0628-0348,01 45 28.6,+12 54 25,8.9,9.3,3.52,,,,,,,,,,,,
GSC 1220-1131,02 16 30.2,+21 17 49,10.8,11.1,1.95,FN27,FN13,,,,,,,,AA12,"AA08, RP25",FN19
GSC 2843-1999,02 27 38.7,+43 14 43,13.5,13.9,1.49,,,,,,,,,,,MV10,
V460 And (GSC 02840-01177),02 34 14.2,+42 14 27,13.2,13.8,1.8,,,,,,,,MV1,MV30,,,
GSC 2861-0970 (TYC 2861-970-1),03 22 42.7,+39 06 35,12.2,12.6,2.64,FN14,FN11,,,,,,,,"MV7,AA11+13+26",,"MV06,10+FN10"
V367 Cam (=GSC 3733-1115 ),04 40 55.2,+53 38 07,10.7,11,2.92,,,FN04,,,,,,,,,
V376 Cam (=GSC 4519-1078),04 57 20.9,+79 20 59,11.8,12.2,3.37,,,,IS20,,,,,,IS02,,MV28
GSC 1306-0466,05 39 52.2,+20 01 09,11.8,12.2,2.08,FN16,,FN13,,,,,,,,,"AB29, PVC12"
GSC 3755-0845,06 05 02.0,+55 09 51,10.4,10.7,1.83,"MV16,22",,,,,,,,,,,"MV12, PVC11"
GSC 0753-1489,07 04 52.4,+10 27 24,12.2,12.6,2.24,,AB17,,,,,,,,,,"AB10,29"
GSC 0191-1282,07 37 58.4,+05 52 28,12.8,13.2,1.14,IS16,,"FN05, IS14C",FN01,,,,,,,,AB11
AD CMi,07 52 47.2,+01 35 50,9.2,9.5,2.95,,JH25,,,,,,,,,,
SZ Lyn,08 09 35.8,+44 28 18,9.1,9.7,2.89,CW07,,,,,,,,,,,
GSC 2977-0238,08 19 17.6,+41 59 00,10.6,11,1.82,"CW07,IS12",,,FN07,,,,,,,,
GSC 2496-0118,09 14 52.4,+34 18 35,12.9,13.3,1.63,IS12,IS13,FN27,"FN20, AA12",,,,,,,,MV11
GSC 3428-1497,09 21 02.5,+49 05 54,9.3,9.8,1.78,MV30,"
",IS27,,,,,,,,,
GSC 3810-1553,09 37 23.5,+55 08 48,13.1,13.4,1.70,,"JH25,27,28",,FN06,,,,,,,,
GSC 3004-0870,10 21 35.3,+40 31 41,13.8,14.3,1.97,,AB13,JH13,"FN02,AA14+17",FN05,,,,,,,
GW UMa,10 44 11.3,+44 40 44,9.5,10,4.88,,,IS27,IS03,,,,,,,,
GSC 4552-1498,11 24 25.5,+77 42 15,12.9,13.4,1.34,IS12,IS12,IS04,IS02,,,,MV1,,,,
GSC 4923-0693,11 25 18.4,-00 47 14,13,13.7,1.6,,,JH1,,,,,,,,,
GSC 3832-0152,11 48 42.0,+54 43 01,11.7,12.1,2.19,IS15,IS12,MV26,,,,,,,,,
GSC 4556-1113,12 03 16.9,+80 33 43,11.5,11.9,2.07,JVW13,,MV19,"JVW01,AA27",,,"JVW13,20", ,"JVW02,23",,,JVW10
GSC 1442-1358,12 13 40.8,+17 14 37,11.9,12.2,1.97,,,JH6,,,,,,,,,
"GSC 4163-0984
",13 03 01.6,+60 01 16,12.7,13.2,1.91,,,,AA26,,,,,,,,
GSC 3031-0307,13 30 03.4,+43 30 14,14.3,14.6,2.40,,,AB4,AA28+29,"RP01,AA26",AA03,,,,,,
GSC 0321-0314,14 24 43.4,+04 38 50,12.9,13.5,1.88,,,JH12,,,,,,,,,
GSC 3863-0740,14 41 38.1,+56 26 17,11.4,11.7,4.74,,,MV26,,,,,,,,,
EH Lib,14 58 56.0,-00 56 52,9.5,10,2.33,,,,,,,,,,,,
GSC 2566-1398,15 22 21.6,+32 58 45,11.9,12.3,2.18,,,,IS01,,,,,,,,
GSC 4417-0394,15 22 39.8,+74 15 17,12.5,13,3.16,,,,AB01,,,,,,,,
YZ Boo,15 24 07.0,+36 52 01,10.3,10.8,2.5,,JH15,,MV2,,,,,,,,
YZ UMi (=GSC 4638-0455),15 35 30.4,+85 37 38,12.4,12.7,2.32,,,,JVW06,,,,,JVW05,,,
GSC 0933-0651,15 36 02.0,+11 06 58,12.5,13,2.53,,JH17,,,,AA16,,,,,,
GSC 3489-0868,15 41 37.0,+51 59 25,13.4,13.7,2.08,,JH25,,MV2,,,,,,,,
V336 Boo (=GSC 3483-0746),15 44 36.6,+46 19 22,12.4,12.7,2.71,,JH16,,,,,,,,,,
GSC 5018-1085,15 46 13.5,-00 26 06,12.1,12.6,1.66,,,,IS02,IS05,,,,,,,
CW Ser,15 53 09.8,+06 05 26,11.7,12.1,4.54,,,,,,,,,,,,
GSC 2043-1201,16 26 43.1,+23 29 42,11.9,12.2,1.87,,,IS26,"IS19,RP30",,,,,,,,
V1116 Her,16 30 16.5,+16 55 06,11.5,11.8,2.27,,JH28,,BS21,,AA22,,,,,,
DY Her,16 31 18.0,+11 59 52,10.2,10.7,3.57,,,,,,,,,,,,
V1209 Her (=GSC 3074-0114),16 41 06.9,+40 42 28,13.8,14.5,1.23,,JH27,,MV21,,,,,,,,
V1086 Her,16 48 39.3,+30 27 45,13.4,13.7,3.13,,,,,,,,,,,,
GSC 2080-0986,17 37 00.8,+25 32 10,13.3,13.6,2.38,,,,,,AB04,,,,,,
GSC 0429-2098,17 52 45.1,+07 00 41,10.8,11.2,3.51,,,,,,,,,,,,
GSC 3097-0583,17 56 09.3,+43 00 54,12.9,13.4,2.02,,,,,,,,,,,,
GSC 1566-2802,18 02 52.5,+21 31 52,13,13.5,1.45,,,,,,,,,,,,
V593 Lyr,18 32 06.6,+40 35 56,12.4,13,2.45,,,,,,AB07,RP04,,,,,
GSC 2108-1564,18 47 43.7,+23 13 13,11.4,11.7,2.35,,,,,,,,,,,,
LW Dra,19 06 26.4,+68 29 02,11.1,11.4,2.84,,,,JVW20+27,JVW10,JVW07,,,,,,
GSC 1594-2234,19 07 24.0,+19 01 24,10.5,10.8,3.28,,,,,,SK27,AA20,,"AA05,07",,,
GSC 3934-1904,19 39 55.8,+52 35 13,10.9,11.2,2.62,,,,,,,"MV15,SK22",,,,,
GSC 1061-1651,19 43 54.1,+09 50 29,12.3,12.6,3.81,,,,,,,AA29,,,,,
XX Cyg,20 03 15.6,+58 57 17,11.3,12.1,3.24,,,,,,,MV13,,,,,
GSC 1076-0158,20 08 12.0,+10 50 48,11.9,12.3,2.08,,,,,,AB14,AB10,AB23,,,,
NSVS 14243430,20 11 34.5,+07 51 04,13,13.5,2.07,,,,,,,AB15,,AB03,,,
GSC 4464-0924,20 52 31.4,+70 54 39,12.4,12.7,1.94,,,,IS15,,,MV11,,,IS15,,
GSC 2696-1396,20 58 45.4,+34 06 47,12.8,13,2.47,,,,,,,MV7,,,,,
GSC 0513-0624,20 58 46.7,+01 44 52,12,12.3,1.74,,,,,,"JH16,17",,,AB04,AB07,,
GSC 2194-2001,21 19 05.3,+27 31 48,12.6,12.9,2.76,,,,,,,AA19,,"AA16,18,19",AA23,,
V2455 Cyg,21 28 24.6,+46 40 31,8.5,9,2.26,,,,,,,MV8,,,,,
