Star,RA,DEC,Max,Min,Period (h),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"V965 Cep = GSC 4500-0083 (=NSVS 304708), multiperiodic?",00 09 49.3,+80 21 41,13.7,14,2.04,,,TV04,,,SD25,JH18,"JH12,13,14,16,23,24,30","JH02,03,04,05,06,07,08,21,22,23,27","JH07,08,09,12,15,23,24","JH05,08,09,10","JH11,16,20"
V1040 Cas,00 31 48.1,+57 01 34,14.8,15.2,1.76,,,,,,SD27,"SD07,JH20","JH12,13",JH02,SD26,JH14,"JH20, 21"
GP And (=GSC 01739-01964),00 55 18.1,+23 09 49,10.4,11,1.89,,,,,,,JH19,JH11,"JH03, FD03,05, 06","FD15, PV 28","PV09, PV22",JH21
V524 And (=GSC 2811-1420),01 05 47.3,+44 35 04,12.3,12.7,2.27,,,,,,,JH18,JH11,"MV04, JH05","PV16,17,23","PV02, HH02,JH17,PV21,HH22","JH11,PV20"
LR Psc (=GSC 0612-0771=ASAS J010618+0846.2),01 06 18.3,+08 46 13,11.2,11.5,1.51,,,,,,,,JH14,"SD06, BW06,09",SD24,SD22,
V792 Cep (=GSC 4619-0450),01 08 01.2,+84 47 25,13.7,14.1,3.20,,,,,,,JH19,JH11,JH05,PV27,"JH10,PV14","JH11,21"
"V791 And (=GSC 2290-1195=2MASS J01092229+3602176), multiperiodic!",01 09 22.3,+36 02 17,14.1,14.4,1.87,,,,,,,"JH18, SD19","JH10,12,13,14,16,23,24,30","JH02,03,04,05,06,07,08,21,22,23,27","JH07,23,24, PV28,31","JH05,08,09,10, PV09","JH11,16,20,21"
KO Psc = GSC 1750-1237 (=ASAS J011024+2719.3),01 10 24.1,+27 19 15,12.9,13.2,2.09,,,,,,,"JH19,JH20","JH10,31",JH05,JH12,"JH08,09",JH16
DW Psc,01 30 26.9,+08 41 34,13.7,14.4,1.43,"GC06, TV10",,,,,,,JH16,"JH02,21",TV10,TV01,
AX Tri (GSC 02301-01168),01 31 49.2,+35 13 24,14.5,15.1,1.66,,,,,,,SD13,"JH10,24","JH02,23 SD19","JH07,08,09","JH10,17",JH20
V544 And (=GSC 2815-0790),01 44 27.9,+37 58 54,13,13.5,2.57,,,,,,,JH20,SD19,"JH03,22","JH08,09,24","JH05,JH14",JH21
DR Ari (=GSC 1220-1131=ASAS J021630+2117.9),02 16 30.2,+21 17 49,10.8,11.1,1.95,,,,,,,,,JH04,"JH15,23",,
V808 And  (=GSC 2843-1999=1SWASP J022738.70+431443.4),02 27 38.7,+43 14 43,13.5,13.9,1.49,,,,,,,,"SD23, JH24","JH03,04,27","JH07,15,23","JH05, PV08","PV02,04,21"
V460 And (=GSC 2840-1177),02 34 14.2,+42 14 27,13.2,13.8,1.80,,,,,,,,JH24,"AB02,JH02","JH09,24","PV05, 29",PV02
